"","name","decimalLatitude","decimalLongitude","scientificName","family","genus","species","year","month","day","recordedBy","identifiedBy","sex"
"2278","Pipistrellus pygmaeus",41.68,-3.9,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2279","Pipistrellus pygmaeus",42.580002,-2.21,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2280","Pipistrellus pygmaeus",43.310001,-2.32,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2281","Pipistrellus pygmaeus",43.02,-4.9,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2282","Pipistrellus pygmaeus",42.939999,-1.59,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2283","Pipistrellus pygmaeus",43.549999,-6.59,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2284","Pipistrellus pygmaeus",41.209999,-6.67,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2285","Plecotus auritus",43.009998,-5.39,"Plecotus auritus (Linnaeus, 1758)","Vespertilionidae","Plecotus","Plecotus auritus",2007,NA,NA,NA,NA,NA
"2286","Pipistrellus pygmaeus",41.310001,-4.73,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2287","Plecotus auritus",42.23,-2.7,"Plecotus auritus (Linnaeus, 1758)","Vespertilionidae","Plecotus","Plecotus auritus",2007,NA,NA,NA,NA,NA
"2288","Plecotus auritus",39.610001,2.36,"Plecotus auritus (Linnaeus, 1758)","Vespertilionidae","Plecotus","Plecotus auritus",2007,NA,NA,NA,NA,NA
"2289","Plecotus auritus",40.75,0.22,"Plecotus auritus (Linnaeus, 1758)","Vespertilionidae","Plecotus","Plecotus auritus",2007,NA,NA,NA,NA,NA
"2290","Plecotus auritus",42.84,-4.9,"Plecotus auritus (Linnaeus, 1758)","Vespertilionidae","Plecotus","Plecotus auritus",2007,NA,NA,NA,NA,NA
"2291","Plecotus auritus",43.220001,-2.32,"Plecotus auritus (Linnaeus, 1758)","Vespertilionidae","Plecotus","Plecotus auritus",2007,NA,NA,NA,NA,NA
"2292","Plecotus austriacus",41.5,-3.9,"Plecotus austriacus (J.Fischer, 1829)","Vespertilionidae","Plecotus","Plecotus austriacus",2007,NA,NA,NA,NA,NA
"2293","Pipistrellus pygmaeus",41.48,-6.31,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2294","Plecotus auritus",43.220001,-2.94,"Plecotus auritus (Linnaeus, 1758)","Vespertilionidae","Plecotus","Plecotus auritus",2007,NA,NA,NA,NA,NA
