"","name","decimalLatitude","decimalLongitude","scientificName","family","genus","species","year","month","day","recordedBy","identifiedBy","sex"
"12336","Locusta migratoria",36.97528,-25.13783,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12337","Oedipoda caerulescens",36.98455,-25.15446,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12338","Oedipoda caerulescens",36.96653,-25.1549,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12339","Oedipoda caerulescens",36.95734,-25.14389,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12340","Decticus albifrons",36.98004,-25.15457,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12341","Oedipoda caerulescens",36.94833,-25.1441,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12342","Eumodicogryllus bordigalensis",36.96176,-25.13816,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12343","Phaneroptera nana",36.96662,-25.16051,"Phaneroptera nana Fieber, 1853","Tettigoniidae","Phaneroptera","Phaneroptera nana",1964,NA,NA,NA,NA,NA
"12344","Eumodicogryllus bordigalensis",36.96653,-25.1549,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12345","Platycleis falx",36.97103,-25.15479,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12346","Oedipoda caerulescens",36.97077,-25.13794,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12347","Decticus albifrons",36.96167,-25.13255,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12348","Eumodicogryllus bordigalensis",36.97545,-25.14906,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12349","Gryllus bimaculatus",36.96627,-25.13805,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
